team,seasonStartYear,gameNumber,outcome,winOdds,loseOdds
"Golden State Warriors",2016,82,1,-1111,+710
"Los Angeles Lakers",2016,82,0,+710,-1111
"Los Angeles Clippers",2016,82,1,-3333,+1362
"Sacramento Kings",2016,82,0,+1362,-3333
"Portland Trail Blazers",2016,82,0,-323,+260
"New Orleans Pelicans",2016,82,1,+260,-323
"Utah Jazz",2016,82,1,-172,+146
"San Antonio Spurs",2016,82,0,+146,-172
"Boston Celtics",2016,82,1,-1429,+850
"Milwaukee Bucks",2016,82,0,+850,-1429
"Chicago Bulls",2016,82,1,-1667,+1021
"Brooklyn Nets",2016,82,0,+1021,-1667
"Cleveland Cavaliers",2016,82,0,+131,-156
"Toronto Raptors",2016,82,1,-156,+131
"Houston Rockets",2016,82,1,-357,+281
"Minnesota Timberwolves",2016,82,0,+281,-357
"Indiana Pacers",2016,82,1,-1667,+953
"Atlanta Hawks",2016,82,0,+953,-1667
"Memphis Grizzlies",2016,82,0,-400,+312
"Dallas Mavericks",2016,82,1,+312,-400
"Miami Heat",2016,82,1,-588,+433
"Washington Wizards",2016,82,0,+433,-588
"New York Knicks",2016,82,1,-145,+124
"Philadelphia 76ers",2016,82,0,+124,-145
"Oklahoma City Thunder",2016,82,0,-238,+198
"Denver Nuggets",2016,82,1,+198,-238
"Orlando Magic",2016,82,1,-123,+104
"Detroit Pistons",2016,82,0,+104,-123
"Los Angeles Lakers",2016,81,1,-139,+118
"New Orleans Pelicans",2016,81,0,+118,-139
"Sacramento Kings",2016,81,1,-213,+177
"Phoenix Suns",2016,82,0,+177,-213
"Dallas Mavericks",2016,81,0,-139,+117
"Denver Nuggets",2016,81,1,+117,-139
"Minnesota Timberwolves",2016,81,0,-312,+250
"Oklahoma City Thunder",2016,81,1,+250,-312
"Atlanta Hawks",2016,81,1,-370,+288
"Charlotte Hornets",2016,82,0,+288,-370
"Golden State Warriors",2016,81,0,-588,+438
"Utah Jazz",2016,81,1,+438,-588
"Los Angeles Clippers",2016,81,1,-476,+363
"Houston Rockets",2016,81,0,+363,-476
"Portland Trail Blazers",2016,81,1,+434,-588
"San Antonio Spurs",2016,81,0,-588,+434
"Chicago Bulls",2016,81,1,-400,+308
"Orlando Magic",2016,81,0,+308,-400
"Detroit Pistons",2016,81,0,-227,+187
"Washington Wizards",2016,81,1,+187,-227
"Milwaukee Bucks",2016,81,1,-270,+222
"Charlotte Hornets",2016,81,0,+222,-270
"Boston Celtics",2016,81,1,-714,+516
"Brooklyn Nets",2016,81,0,+516,-714
"Miami Heat",2016,81,1,-625,+455
"Cleveland Cavaliers",2016,81,0,+455,-625
"Philadelphia 76ers",2016,81,0,+344,-455
"Indiana Pacers",2016,81,1,-455,+344
"Los Angeles Lakers",2016,80,1,+188,-227
"Minnesota Timberwolves",2016,80,0,-227,+188
"Memphis Grizzlies",2016,81,0,-227,+188
"Detroit Pistons",2016,80,1,+188,-227
"Phoenix Suns",2016,81,1,-139,+117
"Dallas Mavericks",2016,80,0,+117,-139
"Sacramento Kings",2016,80,0,+384,-500
"Houston Rockets",2016,80,1,-500,+384
"Denver Nuggets",2016,80,0,-200,+168
"Oklahoma City Thunder",2016,80,1,+168,-200
"Atlanta Hawks",2016,80,1,+175,-208
"Cleveland Cavaliers",2016,80,0,-208,+175
"New York Knicks",2016,81,0,+373,-476
"Toronto Raptors",2016,81,1,-476,+373
"Golden State Warriors",2016,80,1,-3333,+1368
"New Orleans Pelicans",2016,80,0,+1368,-3333
"Portland Trail Blazers",2016,80,1,-139,+118
"Utah Jazz",2016,80,0,+118,-139
"San Antonio Spurs",2016,80,0,-122,+102
"Los Angeles Clippers",2016,80,1,+102,-122
"Philadelphia 76ers",2016,80,0,+240,-294
"Milwaukee Bucks",2016,80,1,-294,+240
"Washington Wizards",2016,80,0,-167,+143
"Miami Heat",2016,80,1,+143,-167
"Charlotte Hornets",2016,80,0,-114,-105
"Boston Celtics",2016,80,1,-105,-114
"Orlando Magic",2016,80,0,+160,-189
"Indiana Pacers",2016,80,1,-189,+160
"Brooklyn Nets",2016,80,1,+146,-172
"Chicago Bulls",2016,80,0,-172,+146
"Los Angeles Lakers",2016,79,1,-130,+110
"Sacramento Kings",2016,79,0,+110,-130
"Phoenix Suns",2016,80,1,+371,-500
"Oklahoma City Thunder",2016,79,0,-500,+371
"Denver Nuggets",2016,79,1,-312,+252
"New Orleans Pelicans",2016,79,0,+252,-312
"Utah Jazz",2016,79,1,-769,+520
"Minnesota Timberwolves",2016,79,0,+520,-769
"Dallas Mavericks",2016,79,0,-208,+173
"San Antonio Spurs",2016,79,1,+173,-208
"Houston Rockets",2016,79,0,-769,+530
"Detroit Pistons",2016,79,1,+530,-769
"Memphis Grizzlies",2016,80,1,-1111,+739
"New York Knicks",2016,80,0,+739,-1111
"Cleveland Cavaliers",2016,79,0,-1667,+1008
"Atlanta Hawks",2016,79,1,+1008,-1667
"Toronto Raptors",2016,80,1,-189,+161
"Miami Heat",2016,79,0,+161,-189
"Portland Trail Blazers",2016,79,1,-227,+187
"Minnesota Timberwolves",2016,78,0,+187,-227
"Atlanta Hawks",2016,78,1,-104,-115
"Boston Celtics",2016,79,0,-115,-104
"New York Knicks",2016,79,0,+215,-263
"Washington Wizards",2016,79,1,-263,+215
"Indiana Pacers",2016,79,1,-200,+168
"Milwaukee Bucks",2016,79,0,+168,-200
"Orlando Magic",2016,79,1,-116,-101
"Brooklyn Nets",2016,79,0,-101,-116
"Philadelphia 76ers",2016,79,0,+186,-227
"Chicago Bulls",2016,79,1,-227,+186
"Los Angeles Clippers",2016,79,1,-714,+525
"Dallas Mavericks",2016,78,0,+525,-714
"Phoenix Suns",2016,79,0,+347,-455
"Golden State Warriors",2016,79,1,-455,+347
"San Antonio Spurs",2016,78,0,-1429,+886
"Los Angeles Lakers",2016,78,1,+886,-1429
"Boston Celtics",2016,78,0,-179,+150
"Cleveland Cavaliers",2016,78,1,+150,-179
"Houston Rockets",2016,78,1,-345,+273
"Denver Nuggets",2016,78,0,+273,-345
"Memphis Grizzlies",2016,79,0,+119,-139
"Oklahoma City Thunder",2016,78,1,-139,+119
"Detroit Pistons",2016,78,0,+112,-132
"Toronto Raptors",2016,79,1,-132,+112
"Charlotte Hornets",2016,79,0,-149,+125
"Miami Heat",2016,78,1,+125,-149
"Golden State Warriors",2016,78,1,-1667,+941
"Minnesota Timberwolves",2016,77,0,+941,-1667
"Sacramento Kings",2016,78,1,+122,-143
"Dallas Mavericks",2016,77,0,-143,+122
"Utah Jazz",2016,78,1,-244,+202
"Portland Trail Blazers",2016,78,0,+202,-244
"San Antonio Spurs",2016,77,1,-455,+346
"Memphis Grizzlies",2016,78,0,+346,-455
"New Orleans Pelicans",2016,78,0,-156,+134
"Denver Nuggets",2016,77,1,+134,-156
"New York Knicks",2016,78,1,+164,-196
"Chicago Bulls",2016,78,0,-196,+164
"Oklahoma City Thunder",2016,77,1,-233,+194
"Milwaukee Bucks",2016,78,0,+194,-233
"Cleveland Cavaliers",2016,77,1,-714,+505
"Orlando Magic",2016,78,0,+505,-714
"Indiana Pacers",2016,78,1,-149,+127
"Toronto Raptors",2016,78,0,+127,-149
"Philadelphia 76ers",2016,78,0,+106,-128
"Brooklyn Nets",2016,78,1,-128,+106
"Washington Wizards",2016,78,1,-152,+129
"Charlotte Hornets",2016,78,0,+129,-152
"Minnesota Timberwolves",2016,76,1,-127,+108
"Portland Trail Blazers",2016,77,0,+108,-127
"Phoenix Suns",2016,78,0,+277,-345
"Houston Rockets",2016,77,1,-345,+277
"Golden State Warriors",2016,77,1,-526,+400
"Washington Wizards",2016,77,0,+400,-526
"Brooklyn Nets",2016,77,1,+133,-159
"Atlanta Hawks",2016,77,0,-159,+133
"Cleveland Cavaliers",2016,76,1,-400,+307
"Indiana Pacers",2016,77,0,+307,-400
"Miami Heat",2016,77,0,-164,+140
"Denver Nuggets",2016,76,1,+140,-164
"New Orleans Pelicans",2016,77,0,-385,+300
"Chicago Bulls",2016,77,1,+300,-385
"Toronto Raptors",2016,77,1,-909,+601
"Philadelphia 76ers",2016,77,0,+601,-909
"Los Angeles Lakers",2016,77,1,+254,-303
"Memphis Grizzlies",2016,77,0,-303,+254
"Milwaukee Bucks",2016,77,0,-270,+223
"Dallas Mavericks",2016,76,1,+223,-270
"San Antonio Spurs",2016,76,1,-227,+193
"Utah Jazz",2016,77,0,+193,-227
"Oklahoma City Thunder",2016,76,0,-204,+171
"Charlotte Hornets",2016,77,1,+171,-204
"New York Knicks",2016,77,0,+276,-345
"Boston Celtics",2016,77,1,-345,+276
"Portland Trail Blazers",2016,76,1,-714,+513
"Phoenix Suns",2016,77,0,+513,-714
"Minnesota Timberwolves",2016,75,0,-833,+585
"Sacramento Kings",2016,77,1,+585,-833
"Brooklyn Nets",2016,76,1,-172,+147
"Orlando Magic",2016,77,0,+147,-172
"Chicago Bulls",2016,76,1,-227,+187
"Atlanta Hawks",2016,76,0,+187,-227
"Los Angeles Clippers",2016,78,1,-2000,+1115
"Los Angeles Lakers",2016,76,0,+1115,-2000
"Golden State Warriors",2016,76,1,-435,+338
"Houston Rockets",2016,76,0,+338,-435
"Utah Jazz",2016,76,1,-143,+122
"Washington Wizards",2016,76,0,+122,-143
"Memphis Grizzlies",2016,76,1,-156,+133
"Dallas Mavericks",2016,75,0,+133,-156
"Miami Heat",2016,76,0,-667,+487
"New York Knicks",2016,76,1,+487,-667
"Milwaukee Bucks",2016,76,1,-312,+254
"Detroit Pistons",2016,77,0,+254,-312
"New Orleans Pelicans",2016,76,1,-833,+564
"Sacramento Kings",2016,76,0,+564,-833
"Oklahoma City Thunder",2016,75,0,+131,-156
"San Antonio Spurs",2016,75,1,-156,+131
"Boston Celtics",2016,76,1,-625,+462
"Orlando Magic",2016,76,0,+462,-625
"Cleveland Cavaliers",2016,75,1,-1111,+710
"Philadelphia 76ers",2016,76,0,+710,-1111
"Charlotte Hornets",2016,76,1,-139,+117
"Denver Nuggets",2016,75,0,+117,-139
"Toronto Raptors",2016,76,1,-238,+196
"Indiana Pacers",2016,76,0,+196,-238
"Portland Trail Blazers",2016,75,1,-114,-105
"Houston Rockets",2016,75,0,-105,-114
"Phoenix Suns",2016,76,0,+430,-588
"Los Angeles Clippers",2016,77,1,-588,+430
"Chicago Bulls",2016,75,1,+188,-227
"Cleveland Cavaliers",2016,74,0,-227,+188
"Minnesota Timberwolves",2016,74,1,-769,+529
"Los Angeles Lakers",2016,75,0,+529,-769
"Detroit Pistons",2016,76,1,-278,+227
"Brooklyn Nets",2016,75,0,+227,-278
"Los Angeles Clippers",2016,76,1,-256,+216
"Washington Wizards",2016,75,0,+216,-256
"Sacramento Kings",2016,75,0,+273,-345
"Utah Jazz",2016,75,1,-345,+273
"San Antonio Spurs",2016,74,0,-192,+163
"Golden State Warriors",2016,75,1,+163,-192
"Memphis Grizzlies",2016,75,1,-182,+158
"Indiana Pacers",2016,75,0,+158,-182
"New Orleans Pelicans",2016,75,1,-256,+210
"Dallas Mavericks",2016,74,0,+210,-256
"Boston Celtics",2016,75,0,-333,+271
"Milwaukee Bucks",2016,75,1,+271,-333
"New York Knicks",2016,75,0,+121,-143
"Miami Heat",2016,75,1,-143,+121
"Toronto Raptors",2016,75,0,-244,+202
"Charlotte Hornets",2016,75,1,+202,-244
"Orlando Magic",2016,75,0,+181,-217
"Oklahoma City Thunder",2016,74,1,-217,+181
"Philadelphia 76ers",2016,75,0,+125,-149
"Atlanta Hawks",2016,75,1,-149,+125
"Los Angeles Lakers",2016,74,0,+363,-476
"Washington Wizards",2016,74,1,-476,+363
"Portland Trail Blazers",2016,74,1,-132,+112
"Denver Nuggets",2016,74,0,+112,-132
"Houston Rockets",2016,74,0,-119,+100
"Golden State Warriors",2016,74,1,+100,-119
"Atlanta Hawks",2016,74,1,-556,+415
"Phoenix Suns",2016,75,0,+415,-556
"Brooklyn Nets",2016,74,0,-185,+156
"Philadelphia 76ers",2016,74,1,+156,-185
"Detroit Pistons",2016,75,0,+129,-152
"Miami Heat",2016,74,1,-152,+129
"Charlotte Hornets",2016,74,0,-182,+154
"Milwaukee Bucks",2016,74,1,+154,-182
"Indiana Pacers",2016,74,0,-182,+156
"Minnesota Timberwolves",2016,73,1,+156,-182
"Sacramento Kings",2016,74,1,+233,-286
"Memphis Grizzlies",2016,74,0,-286,+233
"Utah Jazz",2016,74,1,-244,+204
"New Orleans Pelicans",2016,74,0,+204,-244
"Dallas Mavericks",2016,73,0,+108,-128
"Oklahoma City Thunder",2016,73,1,-128,+108
"San Antonio Spurs",2016,73,1,-222,+186
"Cleveland Cavaliers",2016,73,0,+186,-222
"New York Knicks",2016,74,1,-101,-118
"Detroit Pistons",2016,74,0,-118,-101
"Toronto Raptors",2016,74,1,-357,+281
"Orlando Magic",2016,74,0,+281,-357
"Los Angeles Lakers",2016,73,0,+229,-278
"Portland Trail Blazers",2016,73,1,-278,+229
"Denver Nuggets",2016,73,0,-345,+272
"New Orleans Pelicans",2016,73,1,+272,-345
"Golden State Warriors",2016,73,1,-833,+571
"Memphis Grizzlies",2016,73,0,+571,-833
"Boston Celtics",2016,74,1,-250,+206
"Miami Heat",2016,73,0,+206,-250
