Team,Season Start Year,Game Number,Outcome,Win Odds,Lose Odds
Atlanta Hawks,2016,1,true,-182,+154
Atlanta Hawks,2016,2,true,-370,+296
Atlanta Hawks,2016,3,true,-303,+248
Atlanta Hawks,2016,4,false,-909,+629
Atlanta Hawks,2016,5,false,-103,-114
Atlanta Hawks,2016,6,true,-156,+133
Atlanta Hawks,2016,7,true,+293,-370
Atlanta Hawks,2016,8,true,-161,+139
Atlanta Hawks,2016,9,true,-2500,+1232
Atlanta Hawks,2016,10,true,-286,+234
Atlanta Hawks,2016,11,true,-222,+179
Atlanta Hawks,2016,12,false,+116,-137
Atlanta Hawks,2016,13,false,-185,+159
Atlanta Hawks,2016,14,false,-385,+304
Atlanta Hawks,2016,15,true,-116,-102
Atlanta Hawks,2016,16,false,+138,-161
Atlanta Hawks,2016,17,false,-208,+174
Atlanta Hawks,2016,18,false,+950,-1667
Atlanta Hawks,2016,19,false,-185,+154
Atlanta Hawks,2016,20,false,-125,+106
Atlanta Hawks,2016,21,false,+313,-400
Atlanta Hawks,2016,22,false,-179,+150
Atlanta Hawks,2016,23,true,-455,+351
Atlanta Hawks,2016,24,true,+133,-156
Atlanta Hawks,2016,25,false,-385,+308
Atlanta Hawks,2016,26,true,+236,-294
Atlanta Hawks,2016,27,false,-143,+121
Atlanta Hawks,2016,28,true,+129,-154
Atlanta Hawks,2016,29,false,-185,+158
Atlanta Hawks,2016,30,true,+181,-217
Atlanta Hawks,2016,31,false,-122,+102
Atlanta Hawks,2016,32,true,-204,+168
Atlanta Hawks,2016,33,true,-143,+121
Atlanta Hawks,2016,34,true,+181,-222
Atlanta Hawks,2016,35,true,-132,+110
Atlanta Hawks,2016,36,true,+106,-127
Atlanta Hawks,2016,37,true,-119,+100
Atlanta Hawks,2016,38,true,-385,+304
Atlanta Hawks,2016,39,false,-161,+136
Atlanta Hawks,2016,40,true,-179,+150
Atlanta Hawks,2016,41,true,-145,+122
Atlanta Hawks,2016,42,false,-130,+108
Atlanta Hawks,2016,43,true,-179,+152
Atlanta Hawks,2016,44,true,-625,+447
Atlanta Hawks,2016,45,false,-323,+258
Atlanta Hawks,2016,46,true,-123,+104
Atlanta Hawks,2016,47,false,-154,+131
Atlanta Hawks,2016,48,true,-256,+211
Atlanta Hawks,2016,49,false,+104,-122
Atlanta Hawks,2016,50,true,+400,-526
Atlanta Hawks,2016,51,true,-323,+266
Atlanta Hawks,2016,52,false,-114,-104
Atlanta Hawks,2016,53,true,-169,+144
Atlanta Hawks,2016,54,false,-127,+108
Atlanta Hawks,2016,55,true,+112,-132
Atlanta Hawks,2016,56,false,+137,-161
Atlanta Hawks,2016,57,false,-143,+121
Atlanta Hawks,2016,58,false,-167,+141
Atlanta Hawks,2016,59,true,+156,-185
Atlanta Hawks,2016,60,true,-250,+208
Atlanta Hawks,2016,61,false,+124,-147
Atlanta Hawks,2016,62,false,-152,+129
Atlanta Hawks,2016,63,false,+192,-233
Atlanta Hawks,2016,64,true,-556,+413
Atlanta Hawks,2016,65,true,-154,+129
Atlanta Hawks,2016,66,true,+220,-263
Atlanta Hawks,2016,67,false,+239,-294
Atlanta Hawks,2016,68,false,-179,+150
Atlanta Hawks,2016,69,false,-128,+108
Atlanta Hawks,2016,70,false,+195,-233
Atlanta Hawks,2016,71,false,+266,-333
Atlanta Hawks,2016,72,false,+225,-270
Atlanta Hawks,2016,73,false,-278,+229
Atlanta Hawks,2016,74,true,-556,+415
Atlanta Hawks,2016,75,true,-149,+125
Atlanta Hawks,2016,76,false,+187,-227
Atlanta Hawks,2016,77,false,-159,+133
Atlanta Hawks,2016,78,true,-104,-115
Atlanta Hawks,2016,79,true,+1008,-1667
Atlanta Hawks,2016,80,true,+175,-208
Atlanta Hawks,2016,81,true,-370,+288
Atlanta Hawks,2016,82,false,+953,-1667
Atlanta Hawks,2017,1,true,+181,-217
Atlanta Hawks,2017,2,false,+161,-189
Atlanta Hawks,2017,3,false,+102,-122
Atlanta Hawks,2017,4,false,+523,-769
Atlanta Hawks,2017,5,false,+114,-135
Atlanta Hawks,2017,6,false,+231,-286
Atlanta Hawks,2017,7,false,+179,-217
Atlanta Hawks,2017,8,false,+256,-323
Atlanta Hawks,2017,9,false,+325,-417
Atlanta Hawks,2017,10,true,+592,-909
Atlanta Hawks,2017,11,false,+275,-345
Atlanta Hawks,2017,12,false,+271,-345
Atlanta Hawks,2017,13,false,+395,-526
Atlanta Hawks,2017,14,false,+316,-400
Atlanta Hawks,2017,15,true,-208,+173
Atlanta Hawks,2017,16,false,+199,-238
Atlanta Hawks,2017,17,false,+330,-417
Atlanta Hawks,2017,18,false,+127,-152
Atlanta Hawks,2017,19,true,-128,+108
Atlanta Hawks,2017,20,false,+218,-263
Atlanta Hawks,2017,21,false,+269,-333
Atlanta Hawks,2017,22,true,+168,-200
Atlanta Hawks,2017,23,false,-114,-103
Atlanta Hawks,2017,24,false,+210,-250
Atlanta Hawks,2017,25,true,-196,+167
Atlanta Hawks,2017,26,false,+193,-233
Atlanta Hawks,2017,27,false,+604,-909
Atlanta Hawks,2017,28,false,+146,-172
Atlanta Hawks,2017,29,false,+218,-263
Atlanta Hawks,2017,30,true,-122,+104
Atlanta Hawks,2017,31,false,+165,-196
Atlanta Hawks,2017,32,false,+493,-667
Atlanta Hawks,2017,33,true,-101,-118
Atlanta Hawks,2017,34,true,+200,-244
Atlanta Hawks,2017,35,false,+487,-667
Atlanta Hawks,2017,36,true,+121,-143
Atlanta Hawks,2017,37,false,-104,-114
Atlanta Hawks,2017,38,false,+247,-303
Atlanta Hawks,2017,39,false,+137,-161
Atlanta Hawks,2017,40,false,+156,-185
Atlanta Hawks,2017,41,true,+353,-455
Atlanta Hawks,2017,42,false,-154,+131
Atlanta Hawks,2017,43,true,+188,-227
Atlanta Hawks,2017,44,true,+117,-139
Atlanta Hawks,2017,45,false,-130,+110
Atlanta Hawks,2017,46,true,+124,-147
Atlanta Hawks,2017,47,false,+224,-270
Atlanta Hawks,2017,48,false,+238,-294
Atlanta Hawks,2017,49,false,+139,-164
Atlanta Hawks,2017,50,true,+222,-270
Atlanta Hawks,2017,51,false,+122,-145
Atlanta Hawks,2017,52,false,+239,-294
Atlanta Hawks,2017,53,true,+190,-233
Atlanta Hawks,2017,54,true,-152,+129
Atlanta Hawks,2017,55,false,-128,+106
Atlanta Hawks,2017,56,false,+110,-130
Atlanta Hawks,2017,57,true,+142,-169
Atlanta Hawks,2017,58,false,+258,-323
Atlanta Hawks,2017,59,false,+438,-588
Atlanta Hawks,2017,60,false,+263,-323
Atlanta Hawks,2017,61,false,+112,-133
Atlanta Hawks,2017,62,true,+160,-192
Atlanta Hawks,2017,63,false,+761,-1250
Atlanta Hawks,2017,64,true,-125,+106
Atlanta Hawks,2017,65,false,+718,-1111
Atlanta Hawks,2017,66,false,+321,-400
Atlanta Hawks,2017,67,false,-130,+110
Atlanta Hawks,2017,68,false,+212,-256
Atlanta Hawks,2017,69,false,+183,-222
Atlanta Hawks,2017,70,false,+540,-769
Atlanta Hawks,2017,71,true,+965,-1667
Atlanta Hawks,2017,72,false,+138,-161
Atlanta Hawks,2017,73,false,+559,-769
Atlanta Hawks,2017,74,false,+946,-1667
Atlanta Hawks,2017,75,false,+759,-1111
Atlanta Hawks,2017,76,false,+293,-370
Atlanta Hawks,2017,77,true,-122,+104
Atlanta Hawks,2017,78,false,+794,-1250
Atlanta Hawks,2017,79,false,+245,-303
Atlanta Hawks,2017,80,true,+509,-714
Atlanta Hawks,2017,81,true,+408,-526
Atlanta Hawks,2017,82,false,+441,-588
Atlanta Hawks,2018,1,false,+140,-164
Atlanta Hawks,2018,2,false,+236,-286
Atlanta Hawks,2018,3,true,+296,-370
Atlanta Hawks,2018,4,true,+106,-125
Atlanta Hawks,2018,5,false,-233,+191
Atlanta Hawks,2018,6,false,+577,-833
Atlanta Hawks,2018,7,false,+172,-204
Atlanta Hawks,2018,8,false,+114,-135
Atlanta Hawks,2018,9,true,+193,-233
Atlanta Hawks,2018,10,false,+575,-833
Atlanta Hawks,2018,11,false,+100,-118
Atlanta Hawks,2018,12,false,+181,-217
Atlanta Hawks,2018,13,false,+546,-769
Atlanta Hawks,2018,14,false,+584,-833
Atlanta Hawks,2018,15,false,+810,-1250
Atlanta Hawks,2018,16,false,+519,-714
Atlanta Hawks,2018,17,false,+224,-278
Atlanta Hawks,2018,18,false,+277,-345
Atlanta Hawks,2018,19,false,+272,-345
Atlanta Hawks,2018,20,true,+231,-278
Atlanta Hawks,2018,21,true,+269,-333
Atlanta Hawks,2018,22,false,+610,-909
Atlanta Hawks,2018,23,false,+746,-1250
Atlanta Hawks,2018,24,false,+503,-714
Atlanta Hawks,2018,25,false,+136,-161
Atlanta Hawks,2018,26,true,+195,-238
Atlanta Hawks,2018,27,false,+384,-500
Atlanta Hawks,2018,28,false,+650,-1000
Atlanta Hawks,2018,29,false,+246,-303
Atlanta Hawks,2018,30,true,+131,-156
Atlanta Hawks,2018,31,true,+112,-133
Atlanta Hawks,2018,32,true,+365,-476
Atlanta Hawks,2018,33,false,+219,-270
Atlanta Hawks,2018,34,true,+361,-476
Atlanta Hawks,2018,35,true,-179,+150
Atlanta Hawks,2018,36,false,+788,-1250
Atlanta Hawks,2018,37,false,+213,-263
Atlanta Hawks,2018,38,false,+736,-1111
Atlanta Hawks,2018,39,true,+225,-278
Atlanta Hawks,2018,40,false,+771,-1250
Atlanta Hawks,2018,41,false,+316,-400
Atlanta Hawks,2018,42,true,+397,-526
Atlanta Hawks,2018,43,false,+379,-500
Atlanta Hawks,2018,44,true,+371,-476
Atlanta Hawks,2018,45,false,+233,-286
Atlanta Hawks,2018,46,false,-135,+114
Atlanta Hawks,2018,47,true,+102,-120
Atlanta Hawks,2018,48,false,+324,-417
Atlanta Hawks,2018,49,true,+204,-244
Atlanta Hawks,2018,50,false,+175,-213
Atlanta Hawks,2018,51,false,+615,-909
Atlanta Hawks,2018,52,true,+108,-130
Atlanta Hawks,2018,53,true,+231,-286
Atlanta Hawks,2018,54,false,+231,-286
Atlanta Hawks,2018,55,false,+108,-130
Atlanta Hawks,2018,56,false,-101,-118
Atlanta Hawks,2018,57,true,+193,-238
Atlanta Hawks,2018,58,false,-345,+275
Atlanta Hawks,2018,59,false,+167,-196
Atlanta Hawks,2018,60,true,-161,+136
Atlanta Hawks,2018,61,false,+700,-1111
Atlanta Hawks,2018,62,true,+167,-200
Atlanta Hawks,2018,63,false,-111,-106
Atlanta Hawks,2018,64,true,+150,-179
Atlanta Hawks,2018,65,false,+424,-556
Atlanta Hawks,2018,66,false,+188,-227
Atlanta Hawks,2018,67,false,+159,-189
Atlanta Hawks,2018,68,true,-111,-105
Atlanta Hawks,2018,69,true,+102,-120
Atlanta Hawks,2018,70,false,+465,-625
Atlanta Hawks,2018,71,false,+308,-385
Atlanta Hawks,2018,72,false,+279,-345
Atlanta Hawks,2018,73,true,+257,-312
Atlanta Hawks,2018,74,true,+252,-312
Atlanta Hawks,2018,75,true,-137,+117
Atlanta Hawks,2018,76,false,+121,-143
Atlanta Hawks,2018,77,true,+114,-135
Atlanta Hawks,2018,78,false,+537,-769
Atlanta Hawks,2018,79,true,+158,-189
Atlanta Hawks,2018,80,false,+334,-435
Atlanta Hawks,2018,81,false,+568,-833
Atlanta Hawks,2018,82,false,-222,+183
Atlanta Hawks,2019,1,true,+100,-120
Atlanta Hawks,2019,2,true,+114,-135
Atlanta Hawks,2019,3,false,+223,-270
Atlanta Hawks,2019,4,false,+303,-385
Atlanta Hawks,2019,5,false,+214,-263
Atlanta Hawks,2019,6,true,+195,-238
Atlanta Hawks,2019,7,false,-110,-108
Atlanta Hawks,2019,8,false,+125,-147
Atlanta Hawks,2019,9,false,+334,-417
Atlanta Hawks,2019,10,true,+455,-625
Atlanta Hawks,2019,11,false,+276,-345
Atlanta Hawks,2019,12,false,+363,-476
Atlanta Hawks,2019,13,false,+800,-1429
Atlanta Hawks,2019,14,false,+490,-714
Atlanta Hawks,2019,15,false,+217,-263
Atlanta Hawks,2019,16,false,+246,-312
Atlanta Hawks,2019,17,false,+160,-189
Atlanta Hawks,2019,18,false,+890,-1667
Atlanta Hawks,2019,19,false,+480,-667
Atlanta Hawks,2019,20,false,+790,-1250
Atlanta Hawks,2019,21,true,-263,+214
Atlanta Hawks,2019,22,false,+125,-147
Atlanta Hawks,2019,23,true,+108,-128
Atlanta Hawks,2019,24,false,+301,-385
Atlanta Hawks,2019,25,false,+220,-270
Atlanta Hawks,2019,26,false,+200,-244
Atlanta Hawks,2019,27,false,+575,-833
Atlanta Hawks,2019,28,false,+110,-130
Atlanta Hawks,2019,29,false,+223,-270
Atlanta Hawks,2019,30,false,+257,-323
Atlanta Hawks,2019,31,false,-125,+104
Atlanta Hawks,2019,32,false,+243,-303
Atlanta Hawks,2019,33,false,+390,-526
Atlanta Hawks,2019,34,true,+472,-667
Atlanta Hawks,2019,35,false,+472,-667
Atlanta Hawks,2019,36,true,+247,-303
Atlanta Hawks,2019,37,false,+250,-312
Atlanta Hawks,2019,38,false,+275,-345
Atlanta Hawks,2019,39,false,-118,-101
Atlanta Hawks,2019,40,false,+343,-435
Atlanta Hawks,2019,41,true,+112,-133
